Rk,Name,Age,Tm,PA,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS?,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,Pos Summary
1,Billy McKinney*\mckinbi01,25,TOR,3,1,1,26,99,0.667,0.667,0.243,0.667,0.319,0.667,0.414,1.333,0.733,270,0.961,0.7,0.1,2,0,0,,/7H9
2,Mitch Moreland*\morelmi01,34,BOS,79,45,23,13.3,103,0.341,0.328,0.248,0.430,0.325,0.746,0.423,1.177,0.748,209,0.877,10.4,1,1.378,0.582,0.418,0,3/H
3,Travis Blankenhorn*\blanktr01,23,MIN,4,2,1,13,98,0.333,0.333,0.242,0.500,0.317,0.667,0.412,1.167,0.730,219,0.873,0.6,0.1,1.5,0.333,0.333,,/4
4,Yolmer Sanchez#\sanchca01,28,CHW,21,12,5,10.8,98,0.400,0.313,0.242,0.476,0.317,0.688,0.412,1.164,0.730,217,0.831,3.1,0.3,1.333,0.688,0.375,0,/5HD641
5,Sam Huff\huffsa01,22,TEX,33,20,9,11.7,100,0.471,0.355,0.245,0.394,0.321,0.742,0.418,1.136,0.739,200,0.85,4.2,0.4,1.25,0.452,0.387,0,2
6,Randy Arozarena\arozara01,25,TBR,76,49,17,9,95,0.306,0.281,0.238,0.382,0.313,0.641,0.407,1.022,0.720,179,0.778,7.1,0.7,1.167,0.516,0.359,5.1,7/DH98
7,DJ LeMahieu\lemahdj01,31,NYY,216,128,50,10.2,97,0.370,0.364,0.241,0.421,0.316,0.590,0.411,1.011,0.726,177,0.813,20.6,2,1.087,0.333,0.226,4.6,435/HD
8,Oscar Hernandez\hernaos01,26,KCR,4,3,1,8.7,100,0.667,0.500,0.245,0.500,0.321,0.500,0.418,1.000,0.739,175,0.765,0.4,0,0.667,0,0,,/2H
9,Brian O'Grady*\ogradbr01,28,TBR,5,3,1,8.7,95,0.500,0.400,0.238,0.400,0.313,0.600,0.407,1.000,0.720,175,0.765,0.5,0.1,1.333,0.4,0.2,0,/387
10,Jose Ramirez#\ramirjo01,27,CLE,254,161,54,8.7,102,0.294,0.292,0.247,0.386,0.324,0.607,0.422,0.993,0.745,163,0.768,19.9,1.9,1.106,0.489,0.315,12.6,*5/D
11,Mike Trout\troutmi01,28,LAA,241,149,50,8.7,99,0.300,0.281,0.243,0.390,0.318,0.603,0.414,0.993,0.733,168,0.768,19.9,1.9,1.097,0.497,0.322,1.9,*8/D
12,Nelson Cruz\cruzne02,39,MIN,214,137,42,8,98,0.360,0.303,0.242,0.397,0.317,0.595,0.412,0.992,0.730,169,0.737,17.9,1.7,1.015,0.427,0.292,0,*D/H
13,José Abreu\abreujo02,33,CHW,262,175,51,7.6,98,0.350,0.317,0.242,0.370,0.317,0.617,0.412,0.987,0.730,166,0.718,21.3,2,0.971,0.375,0.3,0,*3/D
14,Salvador Perez\perezsa02,30,KCR,156,101,34,8.8,100,0.375,0.333,0.245,0.353,0.321,0.633,0.418,0.986,0.739,161,0.769,12.1,1.2,1.01,0.327,0.3,1.8,2/3D
15,Alejandro Kirk\kirkal01,21,TOR,25,15,6,10.4,99,0.421,0.375,0.243,0.400,0.318,0.583,0.414,0.983,0.733,166,0.82,2.1,0.2,1,0.25,0.208,0,/2DH
16,Jared Walsh*\walshja01,26,LAA,108,73,22,7.8,99,0.256,0.293,0.243,0.324,0.319,0.646,0.414,0.971,0.733,158,0.731,7.4,0.7,1,0.404,0.354,0,3/H9D
17,Ramon Urias\uriasra01,26,BAL,27,17,5,7.6,99,0.444,0.360,0.243,0.407,0.319,0.560,0.414,0.967,0.733,163,0.722,2.2,0.2,0.941,0.28,0.2,0,/64H
18,Brent Rooker\rookebr01,25,MIN,21,13,4,8,98,0.385,0.316,0.242,0.381,0.317,0.579,0.412,0.960,0.730,160,0.738,1.6,0.2,1,0.263,0.263,0,/9D7
19,Bobby Dalbec\dalbebo01,25,BOS,92,59,18,7.9,103,0.394,0.263,0.248,0.359,0.325,0.600,0.423,0.959,0.748,152,0.735,5.7,0.5,1.017,0.463,0.338,0,3/5D
20,Yordan Álvarez*\alvaryo01,23,HOU,9,7,1,3.7,101,0.167,0.250,0.246,0.333,0.322,0.625,0.420,0.958,0.742,152,0.409,0.5,0.1,0.857,0.375,0.375,0,/D
21,José Iglesias\iglesjo01,30,BAL,150,91,32,9.1,99,0.407,0.373,0.243,0.400,0.319,0.556,0.414,0.956,0.733,160,0.783,12,1.2,0.956,0.204,0.183,0,6D/H
22,Luke Voit\voitlu01,29,NYY,234,159,44,7.2,97,0.268,0.277,0.241,0.338,0.316,0.610,0.410,0.948,0.726,156,0.699,15,1.4,0.949,0.413,0.333,0,*3/DH
23,Mike Brosseau\brossmi01,26,TBR,98,62,19,8,95,0.412,0.302,0.238,0.378,0.313,0.558,0.407,0.936,0.720,158,0.736,7,0.7,1,0.372,0.256,2.9,35/4H7D19
24,Willi Castro#\castrwi01,23,DET,140,88,28,8.3,100,0.448,0.349,0.245,0.381,0.321,0.550,0.418,0.932,0.739,150,0.75,8.6,0.8,0.929,0.248,0.202,0,6/54DH
25,Elliot Soto\sotoel01,30,LAA,7,4,1,6.5,99,0.400,0.333,0.243,0.429,0.319,0.500,0.414,0.929,0.733,155,0.659,0.6,0.1,1,0.333,0.167,,/64H
26,Teoscar Hernandez\hernate01,27,TOR,207,141,37,6.8,99,0.348,0.289,0.243,0.340,0.319,0.579,0.414,0.919,0.733,146,0.678,11.2,1.1,0.936,0.389,0.289,8.7,*9/8DH
27,Brandon Lowe*\lowebr01,25,TBR,224,145,41,7.4,95,0.309,0.269,0.238,0.362,0.313,0.554,0.407,0.916,0.720,152,0.707,14,1.4,0.972,0.43,0.285,4.9,*4/H97D3
28,Anthony Rendon\rendoan01,30,LAA,232,145,39,7,99,0.302,0.286,0.243,0.418,0.319,0.497,0.414,0.915,0.733,151,0.688,15.6,1.5,0.945,0.413,0.212,0,*5
29,Clint Frazier\frazicl01,25,NYY,160,102,28,7.1,97,0.338,0.267,0.241,0.394,0.316,0.511,0.410,0.905,0.726,149,0.696,10,1,0.97,0.458,0.244,4.4,9/7D
30,Austin Nola\nolaau01,30,SEA,110,70,20,7.4,93,0.325,0.306,0.236,0.373,0.311,0.531,0.403,0.903,0.713,152,0.711,7,0.7,0.913,0.316,0.224,0,2/H35D
31,George Springer\springe01,30,HOU,222,146,37,6.6,101,0.259,0.265,0.246,0.359,0.322,0.540,0.420,0.899,0.742,140,0.664,10.5,1,0.917,0.397,0.275,1.9,*8/9DH
32,James McCann\mccanja02,30,CHW,111,74,19,6.7,98,0.339,0.289,0.242,0.360,0.317,0.536,0.412,0.896,0.730,144,0.669,6,0.6,0.903,0.33,0.247,1.8,2/H
33,C.J. Cron\croncj01,30,DET,52,36,8,5.8,100,0.182,0.190,0.245,0.346,0.321,0.548,0.418,0.894,0.739,139,0.609,2.5,0.2,0.917,0.571,0.357,0,3
34,Eloy Jimenez\jimenel02,23,CHW,226,155,39,6.5,98,0.340,0.296,0.242,0.332,0.317,0.559,0.412,0.891,0.730,140,0.661,11,1.1,0.851,0.319,0.263,0,*7/D
35,Aaron Judge\judgeaa01,28,NYY,114,81,17,5.5,97,0.283,0.257,0.241,0.336,0.316,0.554,0.410,0.891,0.726,142,0.583,5.4,0.5,0.84,0.386,0.297,0,9/DH
36,Anthony Santander#\santaan02,25,BAL,165,116,27,6.1,99,0.248,0.261,0.243,0.315,0.318,0.575,0.414,0.890,0.733,138,0.628,7.4,0.7,0.862,0.373,0.314,0,9/7D
37,Giancarlo Stanton\stantmi03,30,NYY,94,62,14,5.9,97,0.333,0.250,0.241,0.387,0.316,0.500,0.411,0.887,0.726,144,0.615,5.5,0.5,0.903,0.447,0.25,1.6,D
38,Tim Anderson\anderti01,27,CHW,221,148,38,6.7,98,0.383,0.322,0.242,0.357,0.317,0.529,0.412,0.886,0.730,141,0.669,11,1.1,0.864,0.269,0.207,6.7,*6
39,Max Stassi\stassma01,29,LAA,105,73,16,5.7,99,0.277,0.278,0.243,0.352,0.318,0.533,0.414,0.886,0.733,139,0.603,5.1,0.5,0.857,0.378,0.256,0,2/H
40,Rowdy Tellez*\tellero01,25,TOR,127,85,21,6.4,99,0.276,0.283,0.243,0.346,0.319,0.540,0.414,0.886,0.733,139,0.653,6.1,0.6,0.88,0.345,0.257,0,3D/H
41,Lourdes Gurriel Jr.\gurrilo01,26,TOR,224,154,37,6.2,99,0.351,0.308,0.243,0.348,0.319,0.534,0.414,0.882,0.733,138,0.642,10.7,1,0.842,0.303,0.226,4.7,*7/HD3
42,Jake Lamb*\lambja01,29,OAK,49,34,8,6.1,93,0.265,0.267,0.236,0.327,0.311,0.556,0.403,0.882,0.713,143,0.633,2.6,0.3,0.853,0.333,0.289,0,5/D
43,Ryan Mountcastle\mountry01,23,BAL,140,89,24,7,99,0.398,0.333,0.243,0.386,0.319,0.492,0.414,0.878,0.733,140,0.689,7.2,0.7,0.851,0.238,0.159,0,73/DH
44,Cesar Puello\puellce01,29,BOS,11,6,2,8.7,103,0.500,0.375,0.248,0.500,0.325,0.375,0.423,0.875,0.748,142,0.765,0.6,0.1,1,0.25,0,,/97
45,Jeimer Candelario#\candeje01,26,DET,206,134,35,6.8,100,0.372,0.297,0.245,0.369,0.321,0.503,0.418,0.872,0.739,135,0.676,8.9,0.9,0.858,0.314,0.205,1.8,*35/H
46,Xander Bogaerts\bogaexa01,27,BOS,225,146,39,6.9,103,0.329,0.300,0.248,0.364,0.325,0.502,0.423,0.867,0.748,131,0.685,8.5,0.8,0.903,0.345,0.202,9.3,*6/HD
47,Gio Urshela\urshegi01,28,NYY,174,116,27,6.1,97,0.315,0.298,0.241,0.368,0.316,0.490,0.410,0.858,0.726,136,0.628,8.5,0.8,0.839,0.318,0.192,1.7,*5/H
48,Jahmai Jones\jonesja08,22,LAA,7,4,1,6.5,99,0.600,0.429,0.243,0.429,0.319,0.429,0.414,0.857,0.733,138,0.659,0.3,0,0.75,0,0,,/4H
49,Kevin Plawecki\plaweke01,29,BOS,89,58,14,6.3,103,0.403,0.341,0.248,0.393,0.325,0.463,0.423,0.857,0.748,130,0.644,3.5,0.3,0.793,0.195,0.122,1,2/3D1
50,Dylan Moore\mooredy01,27,SEA,159,111,24,5.6,93,0.314,0.255,0.236,0.358,0.311,0.496,0.403,0.855,0.713,139,0.596,7.8,0.8,0.919,0.394,0.241,9.6,794/3658H
51,JaCoby Jones\jonesja07,28,DET,108,74,17,6,100,0.356,0.268,0.245,0.333,0.321,0.515,0.418,0.849,0.739,127,0.623,3.8,0.4,0.836,0.32,0.247,1.7,8/H
52,Byron Buxton\buxtoby01,26,MIN,135,102,19,4.8,98,0.241,0.254,0.242,0.267,0.317,0.577,0.412,0.844,0.730,124,0.529,3.2,0.3,0.8,0.346,0.323,3.5,8
53,Yairo Munoz\munozya01,25,BOS,45,31,7,5.9,103,0.424,0.333,0.248,0.333,0.325,0.511,0.423,0.844,0.748,123,0.615,1.4,0.1,0.806,0.222,0.178,1.3,/79D
54,Alex Verdugo*\verdual01,24,BOS,221,144,36,6.5,103,0.371,0.308,0.248,0.367,0.325,0.478,0.423,0.844,0.748,126,0.659,7.6,0.7,0.832,0.274,0.169,4.8,*97/H8D
55,Josh Donaldson\donaljo02,34,MIN,102,68,14,5.4,98,0.231,0.222,0.242,0.373,0.317,0.469,0.412,0.842,0.730,131,0.575,4.2,0.4,0.866,0.469,0.247,0,5/H
56,Bo Bichette\bichebo01,22,TOR,128,89,20,5.8,99,0.352,0.301,0.243,0.328,0.319,0.512,0.414,0.840,0.733,127,0.613,4,0.4,0.809,0.276,0.211,4.4,6/D
57,Michael Brantley*\brantmi02,33,HOU,187,122,30,6.4,101,0.336,0.300,0.246,0.364,0.322,0.476,0.420,0.840,0.742,126,0.652,6.6,0.6,0.82,0.288,0.176,2.9,D7/H
58,Kyle Tucker*\tuckeky01,23,HOU,228,157,36,6,101,0.303,0.268,0.246,0.325,0.322,0.512,0.420,0.837,0.742,123,0.622,5.6,0.6,0.853,0.364,0.244,8.5,*7D/9H
59,Harold Castro*\castrha01,26,DET,54,33,9,7.1,100,0.447,0.347,0.245,0.407,0.321,0.429,0.418,0.836,0.739,129,0.693,2.2,0.2,0.788,0.184,0.082,,/H759348D6
60,Deivy Grullon\grullde01,24,BOS,4,2,1,13,103,0.500,0.333,0.248,0.500,0.325,0.333,0.423,0.833,0.748,133,0.873,0.2,0,1,0.333,0,,/2
61,Kevan Smith\smithke04,32,TBR,38,24,5,5.4,95,0.368,0.258,0.238,0.378,0.313,0.452,0.407,0.830,0.720,132,0.58,1.7,0.2,0.833,0.355,0.194,0,2/HD
62,Robbie Grossman#\grossro01,30,OAK,192,128,30,6.1,93,0.267,0.241,0.236,0.344,0.311,0.482,0.403,0.826,0.713,130,0.631,7.4,0.7,0.891,0.41,0.241,8,*7/H8D9
63,Sean Murphy\murphse01,25,OAK,140,95,19,5.2,93,0.278,0.233,0.236,0.364,0.311,0.457,0.403,0.821,0.713,131,0.562,5.7,0.6,0.811,0.431,0.224,0,*2/H
64,Tommy La Stella*\lasteto01,31,TOT,228,150,33,5.7,96,0.276,0.281,0.239,0.370,0.315,0.449,0.409,0.819,0.723,127,0.604,8.6,0.8,0.803,0.311,0.168,1.7,43/D5H
65,Renato Nunez\nunezre01,26,BAL,216,150,31,5.4,99,0.317,0.256,0.243,0.324,0.319,0.492,0.414,0.816,0.733,121,0.576,5.2,0.5,0.779,0.323,0.236,0,3D/5H
66,Ty France\francty01,25,SEA,94,62,14,5.9,93,0.387,0.302,0.236,0.362,0.311,0.453,0.403,0.815,0.713,129,0.615,3.4,0.3,0.758,0.221,0.151,0,4/D5
67,Jackie Bradley Jr.*\bradlja02,30,BOS,217,142,33,6,103,0.343,0.283,0.248,0.364,0.325,0.450,0.423,0.814,0.748,118,0.628,5.4,0.5,0.823,0.304,0.168,5.8,*8
68,Yandy Díaz\diazya01,28,TBR,138,85,19,5.8,95,0.347,0.307,0.238,0.428,0.313,0.386,0.407,0.814,0.720,131,0.611,6.4,0.6,0.8,0.281,0.079,0,5/DH3
69,Willy Adames\adamewi01,24,TBR,205,142,29,5.3,95,0.388,0.259,0.238,0.332,0.313,0.481,0.407,0.813,0.720,124,0.571,6.3,0.6,0.782,0.335,0.222,3.2,*6/H
70,Matt Chapman\chapmma01,27,OAK,152,112,21,4.9,93,0.291,0.232,0.236,0.276,0.311,0.535,0.403,0.812,0.714,122,0.532,3.6,0.4,0.766,0.359,0.303,0,6-May
71,Adam Engel\engelad01,28,CHW,93,63,14,5.8,98,0.348,0.295,0.242,0.333,0.317,0.477,0.412,0.811,0.730,121,0.609,2.2,0.2,0.762,0.227,0.182,1.5,9H/78
72,Derek Fisher*\fishede01,26,TOR,39,26,5,5,99,0.300,0.226,0.243,0.359,0.319,0.452,0.414,0.811,0.733,122,0.544,1.2,0.1,0.84,0.419,0.226,0,9/7HD
73,DJ Stewart*\stewadj01,26,BAL,112,73,16,5.7,99,0.233,0.193,0.243,0.355,0.319,0.455,0.414,0.809,0.733,121,0.603,3,0.3,0.873,0.489,0.261,0,97/H
74,Jonathan Davis\davisjo05,28,TOR,34,22,5,5.9,99,0.375,0.259,0.243,0.364,0.318,0.444,0.414,0.808,0.733,121,0.618,1.1,0.1,0.857,0.333,0.185,1,/987H
75,Cavan Biggio*\biggica01,25,TOR,265,167,40,6.2,99,0.311,0.250,0.243,0.375,0.319,0.432,0.414,0.807,0.733,122,0.64,8.6,0.8,0.868,0.395,0.182,6.9,495/8HD7
76,Derek Dietrich*\dietrde01,30,TEX,75,54,9,4.3,100,0.200,0.197,0.245,0.347,0.321,0.459,0.418,0.806,0.739,118,0.478,1.6,0.2,0.796,0.41,0.262,1.7,/D3H45
77,Alex Bregman\bregmal01,26,HOU,180,119,26,5.7,101,0.254,0.242,0.246,0.350,0.322,0.451,0.420,0.801,0.742,116,0.601,4.1,0.4,0.805,0.366,0.209,0,*5/H
78,David Fletcher\fletcda02,26,LAA,230,149,34,5.9,99,0.348,0.319,0.243,0.376,0.318,0.425,0.414,0.801,0.733,121,0.62,6.6,0.6,0.753,0.208,0.106,2.4,64/59
79,Kyle Lewis\lewisky01,24,SEA,242,160,35,5.7,93,0.341,0.262,0.236,0.364,0.311,0.437,0.403,0.801,0.713,126,0.602,8.1,0.8,0.816,0.359,0.175,6.9,*8/DH
80,Christian Vazquez\vazquch01,29,BOS,189,133,25,4.9,103,0.341,0.283,0.248,0.344,0.325,0.457,0.423,0.801,0.748,114,0.534,3,0.3,0.744,0.272,0.173,5.1,*2/D4H
81,Jonathan Schoop\schoojo01,28,DET,177,127,23,4.7,100,0.316,0.278,0.245,0.324,0.321,0.475,0.418,0.799,0.739,115,0.517,2.6,0.3,0.712,0.247,0.198,0,*4
82,Mark Canha\canhama01,31,OAK,243,151,36,6.2,93,0.307,0.246,0.236,0.387,0.311,0.408,0.403,0.795,0.714,126,0.639,10.3,1,0.884,0.377,0.162,4.4,D97/83
83,Kevin Pillar\pillake01,31,BOS,126,90,17,4.9,103,0.311,0.274,0.248,0.325,0.325,0.470,0.423,0.795,0.748,111,0.536,1.4,0.1,0.722,0.265,0.197,1.6,9/8H7D
84,Franmil Reyes\reyesfr01,24,CLE,241,164,33,5.2,102,0.355,0.275,0.247,0.344,0.324,0.450,0.422,0.795,0.745,113,0.564,4.5,0.4,0.755,0.289,0.175,0,*D/7H
85,Rafael Devers*\deverra01,23,BOS,248,179,32,4.7,103,0.325,0.263,0.248,0.310,0.325,0.483,0.423,0.793,0.748,110,0.511,2.3,0.2,0.715,0.276,0.22,0,*5/H
86,Brian Goodwin*\goodwbr01,29,LAA,109,73,16,5.7,99,0.333,0.242,0.243,0.330,0.318,0.463,0.414,0.793,0.733,116,0.603,2.2,0.2,0.806,0.358,0.221,1.6,79/8H
87,Randal Grichuk\grichra01,28,TOR,231,165,31,4.9,99,0.299,0.273,0.243,0.312,0.319,0.481,0.414,0.793,0.733,114,0.533,3.5,0.3,0.724,0.269,0.208,1.8,*8/D
88,Aaron Hicks#\hicksaa01,30,NYY,211,136,29,5.5,97,0.256,0.225,0.241,0.379,0.316,0.414,0.410,0.793,0.726,121,0.59,6.7,0.7,0.853,0.45,0.189,4.8,*8/HD
89,Eddie Rosario*\rosared01,28,MIN,231,162,32,5.1,98,0.248,0.257,0.242,0.316,0.317,0.476,0.412,0.792,0.730,115,0.556,3.8,0.4,0.763,0.319,0.219,4.9,*7/DH
90,Vladimir Guerrero Jr.\guerrvl02,21,TOR,243,169,33,5.1,99,0.282,0.262,0.243,0.329,0.319,0.462,0.414,0.791,0.733,115,0.55,4.1,0.4,0.74,0.294,0.199,1.8,3D/H
91,Ryan Jeffers\jeffery01,23,MIN,62,40,9,5.9,98,0.364,0.273,0.242,0.355,0.317,0.436,0.412,0.791,0.730,118,0.614,1.2,0.1,0.775,0.255,0.164,0,2/DH
92,Pat Valaika\valaipa01,27,BAL,150,108,19,4.6,99,0.313,0.277,0.243,0.315,0.318,0.475,0.414,0.791,0.733,114,0.503,1.9,0.2,0.701,0.241,0.199,0,634/H579
93,Cam Gallagher\gallaca01,27,KCR,60,39,9,6,100,0.341,0.283,0.245,0.356,0.321,0.434,0.418,0.790,0.739,115,0.625,1.3,0.1,0.763,0.264,0.151,0,2
94,Ryan McBroom\mcbrory01,28,KCR,85,63,11,4.5,100,0.311,0.247,0.245,0.282,0.321,0.506,0.418,0.789,0.739,109,0.5,0.5,0.1,0.714,0.309,0.259,0,H3/D79
95,Kyle Seager*\seageky01,32,SEA,248,164,35,5.6,93,0.240,0.241,0.236,0.355,0.311,0.433,0.403,0.788,0.714,122,0.591,8.5,0.8,0.835,0.374,0.192,6.4,*5/DH
96,Maikel Franco\francma02,27,KCR,243,169,33,5.1,100,0.298,0.278,0.245,0.321,0.321,0.457,0.418,0.778,0.739,109,0.55,3.1,0.3,0.721,0.256,0.179,1.8,*5/D3
97,Joey Wendle*\wendljo01,30,TBR,184,124,27,5.7,95,0.338,0.286,0.238,0.342,0.313,0.435,0.407,0.777,0.720,116,0.6,3.7,0.4,0.78,0.244,0.149,5.3,546/H
98,Yasmani Grandal#\grandya01,31,CHW,194,130,25,5,98,0.299,0.230,0.242,0.351,0.317,0.422,0.412,0.773,0.730,113,0.544,3.9,0.4,0.773,0.379,0.193,0,2/D3H
99,Kyle Higashioka\higasky01,30,NYY,48,36,6,4.3,97,0.242,0.250,0.241,0.250,0.316,0.521,0.411,0.771,0.726,106,0.478,0,0,0.694,0.271,0.271,0,2/HD
100,Jorge Soler\solerjo01,28,KCR,174,119,22,4.8,100,0.317,0.228,0.245,0.326,0.321,0.443,0.418,0.769,0.739,107,0.526,1.7,0.2,0.746,0.342,0.215,0,D/9H
101,Luis Arraez*\arraelu01,23,MIN,121,79,17,5.6,98,0.353,0.321,0.242,0.364,0.317,0.402,0.412,0.765,0.730,112,0.594,2.3,0.2,0.679,0.152,0.08,,4/H
102,Whit Merrifield\merriwh01,31,KCR,265,185,36,5.1,100,0.295,0.282,0.245,0.325,0.321,0.440,0.418,0.764,0.739,106,0.549,1.6,0.2,0.745,0.242,0.157,10.3,*984/73
103,Cesar Hernandez#\hernace02,30,CLE,261,171,35,5.3,102,0.364,0.283,0.247,0.355,0.324,0.408,0.422,0.763,0.745,106,0.572,2.9,0.3,0.712,0.227,0.124,0,*4/H
104,Max Kepler*\keplema01,27,MIN,196,134,26,5,98,0.236,0.228,0.242,0.321,0.317,0.439,0.412,0.760,0.730,108,0.548,2,0.2,0.767,0.357,0.211,4.5,*9/8HD
105,Erik Kratz\kratzer01,40,NYY,30,19,4,5.5,97,0.409,0.321,0.241,0.367,0.316,0.393,0.411,0.760,0.726,112,0.584,0.5,0.1,0.684,0.143,0.071,,Feb-31
106,Leury Garcia#\garcile02,29,CHW,63,43,9,5.4,98,0.277,0.271,0.242,0.317,0.317,0.441,0.412,0.758,0.730,107,0.582,0.3,0,0.698,0.237,0.169,0,6/49H
107,Miguel Sano\sanomi01,27,MIN,205,151,25,4.3,98,0.301,0.204,0.242,0.278,0.317,0.478,0.412,0.757,0.730,104,0.475,0.4,0,0.715,0.371,0.274,0,*3/D
108,Willians Astudillo\astudwi01,28,MIN,16,12,2,4.3,98,0.231,0.250,0.242,0.250,0.317,0.500,0.412,0.750,0.730,100,0.478,-0.1,0,0.667,0.25,0.25,0,/2H
109,Ronald Guzman*\guzmaro01,25,TEX,86,59,11,4.9,100,0.300,0.244,0.245,0.314,0.321,0.436,0.418,0.750,0.739,102,0.53,-0.2,0,0.729,0.295,0.192,1.6,3/H
110,Francisco Lindor#\lindofr01,26,CLE,266,187,32,4.5,102,0.280,0.258,0.247,0.335,0.324,0.415,0.422,0.750,0.745,102,0.491,0.9,0.1,0.714,0.275,0.157,6.9,*6/D
111,Andrew Romine#\rominan01,34,TEX,4,3,1,8.7,100,0.333,0.250,0.245,0.250,0.321,0.500,0.418,0.750,0.739,97,0.765,0,0,0.667,0.25,0.25,,/DH6
112,Nate Lowe*\lowena01,24,TBR,76,54,9,4.3,95,0.314,0.224,0.238,0.316,0.313,0.433,0.407,0.749,0.720,107,0.478,0.6,0.1,0.722,0.358,0.209,1.6,3/D5H
113,Brett Gardner*\gardnbr01,36,NYY,158,105,20,5,97,0.264,0.223,0.241,0.354,0.316,0.392,0.411,0.747,0.726,108,0.54,2.3,0.2,0.779,0.369,0.169,3.8,*78/HD
114,Miguel Cabrera\cabremi01,37,DET,231,158,29,4.8,100,0.283,0.250,0.245,0.329,0.321,0.417,0.418,0.746,0.739,102,0.523,0.4,0,0.712,0.289,0.167,1.8,*D/H
115,Nick Madrigal\madrini01,23,CHW,109,74,13,4.6,98,0.365,0.340,0.242,0.376,0.317,0.369,0.412,0.745,0.730,108,0.503,1,0.1,0.622,0.078,0.029,0,4
116,Anthony Bemboom*\bemboan01,30,LAA,60,42,7,4.3,99,0.212,0.208,0.243,0.328,0.319,0.417,0.414,0.744,0.733,103,0.478,0.4,0,0.744,0.333,0.208,0,2/1H
117,Ji-Man Choi*\choiji01,29,TBR,145,98,18,4.8,95,0.291,0.230,0.238,0.331,0.313,0.410,0.407,0.741,0.720,106,0.523,2.4,0.2,0.737,0.344,0.18,0,3H/D
118,Chance Sisco*\siscoch01,25,BAL,121,78,15,5,99,0.321,0.214,0.243,0.364,0.318,0.378,0.414,0.741,0.733,105,0.544,1.5,0.2,0.769,0.337,0.163,0,2/DH
119,Luis Robert\roberlu01,22,CHW,227,163,27,4.3,98,0.300,0.233,0.242,0.302,0.317,0.436,0.412,0.738,0.730,101,0.475,0,0,0.733,0.337,0.203,9.9,*8/H
120,Aledmys Díaz\diazal02,29,HOU,59,45,7,4,101,0.256,0.241,0.246,0.254,0.322,0.483,0.420,0.737,0.742,94,0.447,-0.7,-0.1,0.644,0.259,0.241,0,4/53D7H
121,Christian Arroyo\arroych01,25,TOT,54,40,6,3.9,103,0.250,0.240,0.248,0.296,0.325,0.440,0.423,0.736,0.748,95,0.431,-0.6,-0.1,0.65,0.28,0.2,0,Apr-65
122,Hunter Dozier\doziehu01,28,KCR,186,125,23,4.8,100,0.288,0.228,0.245,0.344,0.321,0.392,0.418,0.736,0.739,101,0.524,0.4,0,0.752,0.361,0.165,4.8,39/75
123,Matt Olson*\olsonma02,26,OAK,245,171,30,4.6,93,0.227,0.195,0.236,0.310,0.311,0.424,0.403,0.734,0.714,105,0.502,1.4,0.1,0.731,0.395,0.229,1.9,*3
124,Franchy Cordero*\cordefr02,25,KCR,42,31,5,4.2,100,0.188,0.211,0.245,0.286,0.321,0.447,0.418,0.733,0.739,96,0.463,-0.3,0,0.71,0.368,0.237,1.3,/98HD7
125,LgAvg per 600 PA,,,600,423,73,4.5,98,0.290,0.242,0.243,0.318,0.318,0.414,0.414,0.732,0.732,100,0.497,0,0,0.694,0.284,0.171,12,
126,Martin Maldonado\maldoma01,33,HOU,165,110,20,4.7,101,0.295,0.215,0.246,0.350,0.322,0.378,0.420,0.727,0.742,98,0.519,0.2,0,0.741,0.37,0.163,1.7,*2
127,Cameron Maybin\maybica01,33,DET,45,34,4,3.1,100,0.333,0.244,0.245,0.311,0.321,0.415,0.418,0.726,0.739,96,0.327,-0.2,0,0.618,0.268,0.171,0,9/HD
128,Anderson Tejeda#\tejedan01,22,TEX,77,59,9,4,100,0.381,0.253,0.245,0.273,0.321,0.453,0.418,0.726,0.739,93,0.438,-1.1,-0.1,0.678,0.267,0.2,3.4,6/4D
129,Gleyber Torres\torregl01,23,NYY,160,108,18,4.3,97,0.286,0.243,0.241,0.356,0.316,0.368,0.411,0.724,0.726,102,0.478,1.4,0.1,0.694,0.294,0.125,1.5,*6/H
130,Shin-Soo Choo*\choosh01,37,TEX,127,89,15,4.4,100,0.284,0.236,0.245,0.323,0.321,0.400,0.418,0.723,0.739,96,0.484,-0.4,0,0.747,0.318,0.164,5.5,7D/H9
131,Cedric Mullins*\mullice01,25,BAL,153,108,19,4.6,99,0.350,0.271,0.243,0.315,0.318,0.407,0.414,0.723,0.733,97,0.503,-1.2,-0.1,0.702,0.229,0.136,4.2,*8/79HD
132,Austin Hays\haysau01,24,BAL,134,94,16,4.4,99,0.316,0.279,0.243,0.328,0.319,0.393,0.414,0.722,0.733,98,0.488,-0.4,0,0.652,0.172,0.115,2.7,87/9H
133,Caleb Joseph\josepca01,34,TOR,9,7,1,3.7,99,0.000,0.125,0.243,0.222,0.319,0.500,0.414,0.722,0.733,90,0.409,-0.2,0,0.714,0.5,0.375,0,/2
134,Jose Martinez\martijo08,31,TBR,76,56,7,3.3,95,0.311,0.239,0.238,0.329,0.313,0.388,0.407,0.717,0.720,100,0.352,0.3,0,0.625,0.284,0.149,0,D/H3
