Rk,Name,Age,Tm,PA,Outs,RC,RC/G,AIR,BAbip,BA,lgBA,OBP,lgOBP,SLG,lgSLG,OPS?,lgOPS,OPS+,OWn%,BtRuns,BtWins,TotA,SecA,ISO,PwrSpd,Pos Summary
178,Jorge Polanco#\polanjo01,26,MIN,226,167,21,3.3,98,0.292,0.258,0.242,0.304,0.317,0.354,0.412,0.658,0.730,82,0.354,-5.5,-0.5,0.561,0.167,0.096,4,*6/H
179,Shohei Ohtani*\ohtansh01,25,LAA,175,128,18,3.7,99,0.229,0.190,0.243,0.291,0.319,0.366,0.414,0.657,0.733,80,0.402,-4.4,-0.4,0.664,0.359,0.176,7,*D/H1
180,Mike Tauchman*\tauchmi01,29,NYY,111,76,11,3.8,97,0.329,0.242,0.241,0.342,0.316,0.305,0.410,0.648,0.726,83,0.415,-1.5,-0.1,0.667,0.274,0.063,0,*79/8HD
181,Hunter Renfroe\renfrhu01,28,TBR,139,107,12,2.9,95,0.141,0.156,0.238,0.252,0.313,0.393,0.407,0.645,0.720,77,0.307,-4,-0.4,0.623,0.369,0.238,3.2,9/H3D
182,Jonathan Arauz#\arauzjo01,21,BOS,80,54,8,3.9,103,0.340,0.250,0.248,0.325,0.325,0.319,0.423,0.644,0.748,75,0.425,-2.5,-0.3,0.574,0.181,0.069,0,4/56HD
183,Tim Lopes\lopesti01,26,SEA,151,111,15,3.5,93,0.299,0.238,0.236,0.278,0.311,0.364,0.403,0.642,0.714,80,0.384,-3.7,-0.4,0.586,0.203,0.126,2.9,D79/H51
184,Alex Avila*\avilaal01,33,MIN,62,42,6,3.7,98,0.308,0.184,0.242,0.355,0.317,0.286,0.412,0.641,0.730,81,0.409,-0.7,-0.1,0.643,0.327,0.102,0,2/DH
185,Santiago Espinal\espinsa01,25,TOR,66,47,7,3.9,99,0.356,0.267,0.243,0.308,0.318,0.333,0.414,0.641,0.733,77,0.428,-1.7,-0.2,0.556,0.15,0.067,0,6/H51
186,Joe Panik*\panikjo01,29,TOR,141,97,13,3.5,99,0.283,0.225,0.243,0.340,0.318,0.300,0.414,0.640,0.733,79,0.381,-2.7,-0.3,0.588,0.242,0.075,0,465/HD
187,Michael Chavis\chavimi01,24,BOS,158,123,13,2.8,103,0.280,0.212,0.248,0.259,0.325,0.377,0.423,0.636,0.748,69,0.286,-7,-0.7,0.562,0.24,0.164,3.8,37/4DH
188,Miguel Andujar\andujmi01,25,NYY,65,48,6,3.3,97,0.269,0.242,0.241,0.277,0.316,0.355,0.411,0.632,0.726,74,0.352,-2.5,-0.2,0.521,0.161,0.113,0,/D75H
189,Khris Davis\daviskh01,32,OAK,99,74,8,2.8,93,0.259,0.200,0.236,0.303,0.311,0.329,0.403,0.632,0.713,79,0.294,-1.9,-0.2,0.562,0.247,0.129,0,D/H
190,Tyler Naquin*\naquity01,29,CLE,141,110,12,2.8,102,0.275,0.218,0.247,0.248,0.324,0.383,0.422,0.632,0.745,68,0.298,-6.3,-0.6,0.528,0.195,0.165,0,9/H
191,Jose Altuve\altuvjo01,30,HOU,210,158,18,3,101,0.250,0.219,0.246,0.286,0.322,0.344,0.420,0.629,0.742,71,0.314,-8.2,-0.8,0.544,0.208,0.125,2.9,*4
192,Stephen Piscotty\piscost01,29,OAK,171,129,15,3,93,0.304,0.226,0.236,0.271,0.311,0.358,0.403,0.629,0.713,76,0.322,-5.3,-0.5,0.559,0.214,0.132,4.4,*9/H
193,Delino DeShields\deshide02,27,CLE,120,86,11,3.3,102,0.346,0.252,0.247,0.310,0.324,0.318,0.422,0.628,0.745,71,0.361,-4.7,-0.5,0.561,0.159,0.065,0,8/HD
194,Edwin Encarnacion\encared01,37,CHW,181,138,15,2.8,98,0.156,0.157,0.242,0.250,0.317,0.377,0.412,0.627,0.730,70,0.295,-7,-0.7,0.584,0.321,0.22,0,*D/H
195,LaMonte Wade Jr*\wadela01,26,MIN,44,31,4,3.4,98,0.300,0.231,0.242,0.318,0.317,0.308,0.412,0.626,0.730,75,0.364,-1.2,-0.1,0.581,0.179,0.077,0,/38H79D
196,Rougned Odor*\odorro01,26,TEX,148,120,11,2.4,100,0.157,0.167,0.245,0.209,0.321,0.413,0.418,0.623,0.739,64,0.235,-7.7,-0.8,0.551,0.29,0.246,0,4/D
197,Phil Ervin\ervinph01,27,SEA,47,32,4,3.3,93,0.320,0.205,0.236,0.340,0.311,0.282,0.403,0.622,0.713,80,0.352,-0.6,-0.1,0.594,0.282,0.077,,9/H
198,Mike Freeman*\freemmi01,32,CLE,43,30,4,3.5,102,0.321,0.237,0.247,0.302,0.324,0.316,0.422,0.618,0.745,68,0.38,-1.5,-0.2,0.552,0.158,0.079,,H/5476D3
199,Gary Sanchez\sanchga02,27,NYY,178,139,14,2.6,97,0.159,0.147,0.241,0.253,0.316,0.365,0.411,0.618,0.726,69,0.268,-7.2,-0.7,0.568,0.333,0.218,0,*2/DH
200,Jose Peraza\perazjo01,26,BOS,120,91,10,2.9,103,0.258,0.225,0.248,0.275,0.325,0.342,0.423,0.617,0.748,65,0.3,-5.4,-0.5,0.522,0.162,0.117,1,4/7H65D1
